2016-03-01,0,0,160,29,203,360,22,99,325,77,14,14,22,0,70,0,0,55,96,80,329,11,0,0,31,75,99,99,167,84,19,116,517,283,238,167,292,147,0,7,9,36,144,54,51,241,32,13,7,23,39,84,168,80,187,66,24,0,6,13,0,0
2016-03-02,0,0,0,25,138,31,150,389,361,360,0,90,61,4,8,7,16,149,12,23,52,128,21,158,113,0,71,14,0,32,65,66,173,49,240,449,121,369,1100,578,233,110,493,222,50,161,4,0,13,78,407,60,206,224,151,0,0,0,0,39,0,0
2016-03-03,0,0,85,185,9,53,41,0,191,307,199,218,311,174,454,57,158,6,0,22,94,83,294,1625,366,0,0,55,14,43,1458,917,248,9,10,4,4,30,182,255,158,116,104,81,21,425,494,1578,1580,142,63,233,271,138,49,46,0,41,0,81,18,1
2016-03-04,0,0,41,61,70,7,133,99,398,229,0,28,28,103,48,33,25,263,402,0,0,0,0,0,0,0,0,0,263,242,1067,1336,63,181,225,41,30,79,23,178,65,86,0,55,194,206,386,840,1455,265,70,0,11,0,115,127,140,112,14,0,0,1
2016-03-05,34,4,0,0,10,50,58,0,25,35,59,76,183,6,0,0,0,0,0,0,115,256,145,66,0,0,0,232,181,318,90,287,473,300,467,255,226,83,738,1630,1590,685,159,173,7,9,4,0,75,0,0,46,0,245,210,11,0,50,19,141,0,1
2016-03-06,0,0,0,0,0,0,34,106,97,215,132,230,83,6,64,41,0,21,138,214,134,145,379,772,127,337,487,72,342,241,598,262,214,156,174,179,664,1625,1750,1284,867,74,264,245,208,42,61,68,136,22,5,64,40,25,178,88,101,2,0,0,0,1
2016-03-07,0,0,42,68,58,0,93,154,295,172,38,0,0,0,0,184,680,0,0,0,0,0,0,0,0,196,823,239,78,71,138,315,43,0,0,0,284,371,23,4,0,116,213,64,51,75,1172,58,0,186,468,214,354,96,0,133,0,0,23,68,0,0
2016-03-08,6,81,49,79,0,0,38,129,347,147,248,68,153,0,26,139,318,309,355,102,176,18,8,78,69,820,214,333,124,0,7,0,174,0,242,123,218,84,0,141,0,50,41,86,299,56,0,0,133,22,45,11,0,8,23,283,0,0,0,0,0,0
2016-03-09,0,0,0,80,102,37,0,0,132,130,25,25,215,209,99,149,17,40,32,7,61,16,125,154,167,9,24,231,113,7,97,66,574,406,124,0,0,0,45,383,191,8,15,88,128,350,69,68,48,8,28,0,36,90,261,170,27,165,141,45,0,0
2016-03-10,0,101,21,86,63,0,0,46,11,56,102,14,0,454,115,41,37,14,0,61,0,0,0,64,64,141,84,116,58,7,0,15,138,145,148,39,65,62,58,61,130,79,57,15,362,365,388,0,0,0,7,6,0,0,66,212,9,56,316,136,0,0
2016-03-11,53,0,20,0,134,0,318,0,5,0,14,238,117,171,367,70,0,0,0,0,0,295,105,0,161,169,153,33,738,366,50,186,238,458,109,180,188,211,573,169,370,391,345,342,224,51,156,63,26,118,44,148,328,405,333,122,142,143,0,0,0,1
2016-03-12,0,0,0,0,0,0,46,147,0,98,38,226,1523,1472,1360,1252,798,195,24,67,132,202,8,0,0,50,142,116,316,4,107,81,180,169,171,210,212,181,52,0,32,27,44,45,143,0,0,22,0,20,33,29,227,266,45,0,0,35,48,54,0,1
2016-03-13,0,6,0,17,46,75,119,0,9,102,1105,1839,1843,1126,23,52,70,0,0,0,0,20,51,100,229,356,344,164,173,103,166,203,191,6,67,42,113,0,23,51,0,0,77,134,31,44,269,1076,1381,163,134,106,59,67,0,0,0,0,0,0,0,1
2016-03-14,0,0,0,55,119,0,70,0,244,422,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,152,0,14,0,54,8,94,149,6,14,67,0,45,14,179,48,524,1657,261,0,0,35,301,92,78,0,116,17,0,4,6,0,0,0
2016-03-15,0,54,96,135,0,168,152,108,461,8,373,571,508,632,645,276,20,154,297,73,7,124,359,216,137,51,48,370,202,111,443,214,184,126,147,0,6,203,51,117,72,404,298,253,1190,1715,423,34,9,54,47,131,0,10,12,18,19,38,132,250,20,1
2016-03-16,0,0,0,190,0,27,80,0,173,202,277,4,100,11,8,37,42,472,143,216,495,142,84,0,0,20,464,231,297,1289,18,62,133,32,859,1531,311,1164,758,43,0,75,6,27,240,466,328,1001,1663,1535,1005,218,50,41,21,9,0,0,0,8,0,1
2016-03-17,0,0,91,73,0,25,0,217,471,653,54,0,159,130,0,0,92,228,19,50,0,72,73,52,115,60,0,0,0,52,159,30,68,18,36,99,64,245,164,368,267,37,0,47,390,1259,63,28,112,185,159,58,40,6,11,19,213,87,0,40,0,0
2016-03-18,0,0,161,17,17,64,0,355,460,48,0,0,0,0,0,0,0,0,0,0,29,0,653,282,207,36,98,386,7,11,50,77,252,15,11,42,41,0,51,0,268,130,431,369,216,301,189,1003,1171,163,33,0,8,57,45,28,0,25,0,195,0,0
2016-03-19,0,0,0,15,0,12,7,38,4,190,9,12,84,61,0,12,179,88,38,189,139,31,328,758,1580,842,538,972,193,101,66,144,107,280,125,201,509,170,0,511,1199,1749,1627,1642,271,39,80,329,45,0,0,96,83,165,84,18,0,0,0,0,0,1
2016-03-20,0,0,0,0,0,0,0,0,20,0,0,0,0,15,41,96,67,14,0,157,20,120,137,70,96,108,312,475,509,346,135,610,604,127,27,600,808,1757,1708,1723,1630,392,393,342,197,231,501,217,6,9,0,140,0,0,44,52,0,135,228,5,0,1
2016-03-21,55,170,7,201,389,187,9,354,300,0,0,0,0,0,0,0,0,0,73,65,32,5,31,0,0,0,67,120,156,4,119,5,6,8,78,45,106,104,149,24,147,166,162,100,355,1068,422,0,24,61,339,79,29,0,50,0,9,0,143,10,0,0
