2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,436,287,217,209,99,89,322,402,128,214,0,0
2016-02-03,0,0,0,199,52,35,0,84,0,23,0,0,0,14,0,7,0,0,209,40,25,62,49,35,19,0,11,0,0,0,9,157,266,413,193,37,74,179,0,0,0,0,0,386,231,12,0,0,0,0,0,212,303,346,124,35,25,44,30,45,0,0
2016-02-04,39,0,0,92,0,6,17,0,12,0,0,10,91,0,41,0,0,0,0,168,91,0,0,0,0,0,22,220,41,114,0,112,590,468,548,268,41,263,158,7,325,366,60,56,33,85,54,297,0,20,194,105,0,18,194,212,88,203,0,18,0,1
2016-02-05,0,0,57,0,0,0,5,0,0,0,0,0,4,0,0,29,4,0,91,41,0,26,204,349,19,191,25,0,151,7,89,98,207,80,223,57,34,23,139,123,41,0,255,529,148,101,194,115,222,256,26,121,0,49,241,29,23,17,178,314,15,1
2016-02-06,0,0,0,0,0,0,0,0,0,141,188,0,12,0,0,0,112,28,6,0,11,125,158,7,0,0,0,0,0,0,0,57,205,154,253,216,130,291,252,227,38,0,13,319,123,13,420,277,271,312,0,0,0,0,0,0,0,0,0,0,0,1
2016-02-07,0,0,0,0,0,0,9,0,8,0,0,0,0,0,20,0,144,78,18,9,0,165,201,107,126,186,26,51,53,135,62,71,0,136,90,218,98,283,175,0,206,85,49,167,492,256,112,306,20,24,7,0,0,0,4,71,11,0,0,53,7,1
2016-02-08,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,64,200,154,21,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,561,292,0,9,99,26,0,12,32,7,34,16,90,140,17,79,162,271,228,37,11,0,0
2016-02-09,0,0,0,15,0,0,63,0,0,6,0,0,23,0,0,0,18,11,10,49,27,28,75,0,0,18,21,104,34,188,274,33,406,61,31,18,36,273,9,0,0,0,0,269,93,159,203,208,131,135,123,79,9,39,23,85,263,63,85,100,0,0
2016-02-10,0,0,0,0,0,0,0,0,0,0,62,32,0,0,0,0,0,6,0,0,0,0,0,33,91,132,17,31,0,102,306,106,19,7,28,318,283,241,0,0,0,0,137,386,231,25,127,70,194,34,43,14,40,61,13,100,49,13,19,43,0,0
2016-02-11,0,23,72,0,0,0,0,0,0,0,0,0,0,0,0,44,8,15,7,13,7,152,179,9,0,0,0,0,0,0,0,177,116,0,0,0,0,115,292,68,595,342,45,529,305,46,185,97,266,370,77,29,10,0,88,90,54,54,70,9,22,1
2016-02-12,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,126,0,18,0,55,150,19,4,64,22,16,30,154,247,193,0,0,0,0,49,247,404,423,120,24,156,201,385,450,459,205,239,274,21,124,12,108,21,278,242,0,1
2016-02-13,380,504,23,47,261,180,37,49,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,41,224,163,29,14,0,34,0,24,0,89,0,0,235,269,233,169,170,199,11,18,0,267,592,112,0,0,0,104,222,119,139,484,89,0,1
