2016-06-01,0,0,0,0,0,0,0,0,0,0,120,71,19,49,0,0,0,0,103,413,826,758,461,98,37,0,104,161,254,69,4,0,103,31,0,66,113,0,10,0,0,107,62,319,95,0,24,0,93,43,272,117,83,367,1186,1209,166,222,24,44,0,1
2016-06-02,0,0,0,0,0,0,0,0,0,0,155,115,23,0,74,42,13,68,92,111,20,0,20,9,0,0,0,273,0,498,267,80,79,234,83,5,0,14,189,39,102,0,0,0,0,558,1572,225,123,114,26,81,22,121,269,356,327,24,35,178,15,0
2016-06-03,0,0,0,0,0,0,0,0,0,0,110,24,0,0,0,0,0,75,135,7,22,149,278,280,293,161,118,302,504,47,130,169,21,121,34,253,18,0,27,213,10,219,295,0,15,106,0,78,274,23,0,0,982,1325,158,176,106,68,80,0,0,0
2016-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,188,323,186,319,250,433,224,0,12,0,0,0,0,61,183,30,0,0,0,66,88,158,205,5,0,0,0,0,0,0,92,112,9,0,0,102,78,63,187,11,387,923,1430,214,133,86,1109,80,0
2016-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,235,446,0,6,0,0,351,234,99,208,266,0,6,28,91,98,90,171,282,134,115,213,181,0,193,17,0,86,283,70,169,20,29,236,183,131,192,168,496,1521,447,22,0
2016-06-06,0,0,0,0,0,0,0,0,51,160,20,0,75,88,69,74,233,346,295,304,494,240,160,0,6,91,43,0,137,122,7,208,245,162,0,386,15,0,9,84,427,218,126,122,87,0,0,0,29,81,57,155,30,117,119,52,235,304,855,1417,64,1
2016-06-07,0,0,0,0,0,0,0,0,0,24,53,0,169,571,382,501,356,89,107,167,194,80,77,311,106,80,197,116,9,231,257,153,169,323,48,125,197,86,0,6,295,32,15,66,133,83,125,27,158,263,194,24,74,414,189,39,148,451,1572,477,11,1
2016-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,13,20,95,108,99,44,72,245,103,23,71,540,327,20,0,211,174,106,18,220,293,84,325,309,182,91,163,43,0,90,11,86,48,121,24,87,202,233,291,186,1199,1550,399,203,67,17,1
2016-06-09,0,0,0,0,0,0,0,0,0,39,30,13,58,50,65,37,122,25,31,146,146,124,95,303,423,119,309,1012,1305,340,234,103,201,81,39,14,0,14,79,50,37,141,224,299,53,0,0,0,331,503,532,702,589,162,1194,981,7,79,19,133,0,1
2016-06-10,0,0,0,0,0,0,0,0,0,0,31,14,0,14,20,106,67,58,113,5,0,16,0,209,245,0,0,0,9,0,0,42,0,44,129,119,11,31,21,199,162,292,195,279,164,83,691,1521,272,16,0,0,18,36,265,233,146,104,0,212,0,0
2016-06-11,0,0,0,0,0,0,0,0,0,0,19,0,0,81,116,131,87,200,56,0,23,15,0,0,12,26,38,83,10,41,43,12,0,136,24,219,138,15,0,58,168,124,393,414,624,670,275,230,348,429,1283,1067,105,29,53,49,0,0,106,105,26,1
2016-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6,37,98,7,123,96,137,116,182,109,457,21,0,7,72,111,6,0,0,235,556,72,15,18,0,0,174,52,54,14,182,517,285,308,867,1481,343,417,252,91,228,280,25,1
2016-06-13,0,0,0,0,0,0,0,0,138,0,167,121,84,64,4,0,15,165,144,554,620,747,304,239,100,237,75,17,70,144,71,95,87,79,0,172,70,7,0,0,0,0,168,1140,1551,232,0,96,6,57,220,245,237,108,63,63,219,70,92,152,9,1
2016-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,156,228,497,114,358,256,77,53,0,0,139,17,94,20,209,64,150,153,109,45,49,14,193,615,519,210,42,0,0,0,1253,1450,162,85,97,67,7,0,92,276,194,0,36,13,0,1
2016-06-15,0,0,0,0,0,0,0,0,0,0,95,214,137,0,10,0,171,567,542,229,295,198,53,0,146,6,4,66,62,169,0,120,252,395,425,440,282,77,44,63,800,1544,502,86,20,35,291,58,84,278,0,0,115,88,179,0,48,214,112,110,70,1
2016-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,18,77,0,0,22,57,100,34,165,137,174,86,78,26,0,231,387,47,82,0,15,5,0,131,426,34,51,49,205,1287,1167,7,89,16,157,23,59,151,174,159,179,95,90,275,25,182,238,0,0
2016-06-17,0,0,0,0,0,0,115,339,48,460,335,171,279,291,362,538,295,398,357,330,97,303,22,146,182,98,30,126,156,7,72,292,219,40,14,85,165,67,188,60,5,42,287,198,296,43,521,394,579,708,294,608,390,234,163,36,79,195,213,17,0,1
2016-06-18,0,0,0,0,0,0,27,31,97,37,46,0,69,25,75,97,172,420,379,235,39,23,782,1389,123,15,0,88,843,1269,891,475,318,498,244,183,212,216,91,306,424,242,58,262,428,244,103,60,117,5,28,18,0,17,63,0,0,0,12,9,0,1
2016-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,306,231,135,230,0,7,206,270,278,74,46,181,71,115,195,350,64,427,334,253,434,1134,1188,27,210,318,820,229,323,429,287,220,212,218,113,76,53,132,8,39,0,0,0,1
2016-06-20,0,0,0,0,0,0,164,236,247,71,133,88,0,157,112,274,304,253,139,221,268,39,323,178,37,0,68,85,511,396,717,770,6,13,263,238,563,424,263,255,294,283,184,9,49,1228,63,0,0,0,0,0,0,0,78,7,104,179,44,144,5,1
2016-06-21,0,0,0,0,0,158,349,0,242,0,300,334,423,587,775,562,102,4,66,0,0,188,159,289,146,193,65,104,61,119,226,255,117,251,494,1568,548,153,83,305,334,347,88,331,329,67,6,21,136,122,0,0,13,133,39,203,74,100,164,231,25,1
2016-06-22,0,0,0,0,0,0,0,64,152,147,304,22,340,321,163,433,529,92,0,0,0,0,0,0,0,0,231,0,0,16,16,0,25,124,244,302,23,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-23,0,0,0,0,297,24,105,290,60,172,92,253,261,10,67,6,0,0,270,157,24,0,5,0,0,4,0,0,0,0,0,13,224,104,63,0,4,311,305,275,405,346,62,98,55,61,229,75,86,31,8,185,124,0,0,32,30,0,0,189,6,0
2016-06-24,0,0,0,0,0,0,0,114,125,289,237,25,0,67,0,83,248,74,52,95,90,337,46,9,29,217,152,92,61,0,18,0,0,0,0,19,28,240,67,15,62,78,72,58,0,0,167,132,37,86,9,27,125,30,173,1334,1092,59,227,0,0,0
2016-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,113,32,118,0,46,130,47,173,152,151,112,0,472,0,49,49,0,257,39,70,154,108,259,120,68,111,1036,1462,85,291,40,107,25,184,83,102,168,163,383,7,0
2016-06-26,0,0,0,0,0,0,0,0,0,8,118,48,153,78,106,64,386,273,83,212,484,16,0,0,141,132,105,202,278,231,0,57,152,153,20,219,225,171,188,102,166,38,52,198,128,142,31,160,7,38,180,124,119,224,234,239,328,154,988,1325,97,1
2016-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,422,270,563,699,212,152,171,225,196,118,126,35,164,0,45,160,582,766,0,4,528,25,21,1110,133,172,115,62,112,130,11,84,0,99,0,0,10,213,41,261,193,472,1541,253,30,1
2016-06-28,0,0,0,0,0,0,0,0,0,31,401,209,0,4,6,11,11,49,544,328,261,157,117,182,290,127,35,36,37,123,24,120,87,0,81,34,14,24,0,0,0,60,241,90,39,178,159,264,89,142,144,204,9,172,65,174,154,1168,1501,423,20,1
