2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2016-02-04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2016-02-06,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
2016-02-07,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2016-02-08,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-02-09,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-02-10,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
2016-02-11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2016-02-13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2016-02-14,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
2016-02-15,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2016-02-16,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-02-17,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
2016-02-18,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2016-02-19,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-20,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0
2016-02-21,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
2016-02-22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2016-02-25,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-26,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-02-27,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2016-02-28,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0
2016-02-29,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
